"date/time (SER UTC+1,00)",Debit[l/s]
7.3.2015 23:10:00,65
7.3.2015 23:15:00,69
7.3.2015 23:20:00,66
7.3.2015 23:25:00,68
7.3.2015 23:30:00,67
7.3.2015 23:35:00,66
7.3.2015 23:40:00,66
7.3.2015 23:45:00,67
7.3.2015 23:50:00,64
7.3.2015 23:55:00,64
8.3.2015 00:00:00,63
8.3.2015 00:05:00,62
8.3.2015 00:10:00,63
8.3.2015 00:15:00,64
8.3.2015 00:20:00,64
8.3.2015 00:25:00,60
8.3.2015 00:30:00,61
8.3.2015 00:35:00,60
8.3.2015 00:40:00,60
8.3.2015 00:45:00,59
8.3.2015 00:50:00,59
8.3.2015 00:55:00,61
8.3.2015 01:00:00,60
8.3.2015 01:05:00,60
8.3.2015 01:10:00,58
8.3.2015 01:15:00,57
8.3.2015 01:20:00,55
8.3.2015 01:25:00,54
8.3.2015 01:30:00,52
8.3.2015 01:35:00,52
8.3.2015 01:40:00,52
8.3.2015 01:45:00,52
8.3.2015 01:50:00,51
8.3.2015 01:55:00,51
8.3.2015 02:00:00,51
8.3.2015 02:05:00,51
8.3.2015 02:10:00,51
8.3.2015 02:15:00,51
8.3.2015 02:20:00,51
8.3.2015 02:25:00,49
8.3.2015 02:30:00,50
8.3.2015 02:35:00,48
8.3.2015 02:40:00,48
8.3.2015 02:45:00,48
8.3.2015 02:50:00,46
8.3.2015 02:55:00,46
8.3.2015 03:00:00,47
8.3.2015 03:05:00,47
8.3.2015 03:10:00,45
8.3.2015 03:15:00,44
8.3.2015 03:20:00,44
8.3.2015 03:25:00,45
8.3.2015 03:30:00,45
8.3.2015 03:35:00,43
8.3.2015 03:40:00,43
8.3.2015 03:45:00,42
8.3.2015 03:50:00,44
8.3.2015 03:55:00,43
8.3.2015 04:00:00,47
8.3.2015 04:05:00,45
8.3.2015 04:10:00,46
8.3.2015 04:15:00,41
8.3.2015 04:20:00,42
8.3.2015 04:25:00,41
8.3.2015 04:30:00,40
8.3.2015 04:35:00,40
8.3.2015 04:40:00,40
8.3.2015 04:45:00,39
